Zip,Coastal/Inland,Pair,Date,Price,TotalWeightedObservations,GMSL_noGIA,StdDevGMSL_noGIA,SmoothedGSML_noGIA,GMSL_GIA,StdDevGMSL_GIA,SmoothedGSML_GIA,SmoothedGSML_GIA_sigremoved
93109.0,1,3,2010-02,,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
93108.0,0,3,2010-02,,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
77505.0,1,4,2010-02,168000.0,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
77504.0,0,4,2010-02,,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
33137.0,1,5,2010-02,,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
33127.0,0,5,2010-02,,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
33129.0,1,6,2010-02,,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
33145.0,0,6,2010-02,,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
33131.0,1,7,2010-02,305000.0,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
33130.0,0,7,2010-02,,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
33308.0,1,8,2010-02,349900.0,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
33060.0,0,9,2010-02,,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
33062.0,1,9,2010-02,329000.0,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
70124.0,1,10,2010-02,270300.0,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
70118.0,0,10,2010-02,,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
70122.0,1,11,2010-02,,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
70119.0,0,11,2010-02,,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
70126.0,1,12,2010-02,,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
77062.0,0,13,2010-02,167000.0,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
77058.0,1,13,2010-02,,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
77015.0,1,14,2010-02,94950.0,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
10305.0,1,16,2010-02,382450.0,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
10304.0,0,16,2010-02,,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
10314.0,1,17,2010-02,,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
11204.0,0,18,2010-02,,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
11214.0,1,18,2010-02,,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
11209.0,1,19,2010-02,,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
10023.0,0,20,2010-02,,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
10069.0,1,20,2010-02,,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
10003.0,0,21,2010-02,,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
10010.0,1,21,2010-02,,337393.41,13.11,87.3,10.16,17.27,87.21,14.32,15.98
94014.0,0,1,2010-03,,335680.31,7.35,86.05,8.53,11.56,85.81,12.72,15.0
94015.0,1,1,2010-03,,335680.31,7.35,86.05,8.53,11.56,85.81,12.72,15.0
93940.0,0,2,2010-03,,335680.31,7.35,86.05,8.53,11.56,85.81,12.72,15.0
93950.0,1,2,2010-03,699000.0,335680.31,7.35,86.05,8.53,11.56,85.81,12.72,15.0
93109.0,1,3,2010-03,,335680.31,7.35,86.05,8.53,11.56,85.81,12.72,15.0
93108.0,0,3,2010-03,,335680.31,7.35,86.05,8.53,11.56,85.81,12.72,15.0
77505.0,1,4,2010-03,166000.0,335680.31,7.35,86.05,8.53,11.56,85.81,12.72,15.0
77504.0,0,4,2010-03,,335680.31,7.35,86.05,8.53,11.56,85.81,12.72,15.0
33137.0,1,5,2010-03,,335680.31,7.35,86.05,8.53,11.56,85.81,12.72,15.0
